id,pdf_name,source
0,10-klas-istorija-ukrajiny-gisem-2018.pdf,"Історія України (рівень стандарту) : підруч. для 10 класу закл. загал. серед. освіти / [О. В. Гісем, О. О. Мартинюк]. — Харків : Вид-во «Ранок», 2018. — 240 с. : іл."
1,"Istoriia Ukrainy_pidruchnyk dlia 7 klasu ZZSO_(A. A. Galimov, O. V. Gisem, O. O. Martinyk)-1.pdf","Історія України : підруч. для 7 класу закл. загал. серед. освіти / [А. А. Галімов, О. В. Гісем, О. О. Мартинюк]. — Харків : Вид-во «Ранок», 2024. — 224 с. : іл."
2,Vstup-do-istorii-5-klas-Hisem-2022.pdf,"Вступ до історії України та громадянської освіти : підруч. для 5 класу закл. загал. серед. освіти / [О. В. Гісем, О. О. Мартинюк]. — Харків : Вид-во «Ранок», 2022. — 144 с. : іл."
3,10-klas-istorija-ukrajini-vlasov-2018-prof.pdf,"Історія України (профільний рівень) : підруч. для 10 класу закл. загал. серед. освіти / [В. С. Власов, С. В. Кульчицький]. — Київ : Літера ЛТД, 2018. — 304 с. : іл."
4,Istoria-Ukrainy_7kl_2024_Litera_ltd.pdf,"Історія України : підруч. для 7 класу закл. загал. серед. освіти / [О. Є. Панарін, А. В. Макаревич]. — Київ : Літера ЛТД, 2024. — 192 с. : іл."
5,Istorija-Ukrajiny-8-klas-Halimov-2025.pdf,"Історія України : підруч. для 8 класу закл. загал. серед. освіти / [А. А. Галімов, О. В. Гісем, О. О. Мартинюк, О. М. Сирцова]. — Харків : Вид-во «Ранок», 2025. — 272 с. : іл."
6,Istoria-Ukraiiny-9-klas-Vlasov-2022-pohlyb.pdf,"Історія України (поглиблений рівень) : підруч. для 9 класу закл. загал. серед. освіти / [В. С. Власов]. — Київ : Літера ЛТД, 2022. — 336 с. : іл."
7,9-klas-istorija-ukrajini-gisem-2017.pdf,"Історія України : підруч. для 9 класу закл. загал. серед. освіти / [О. В. Гісем, О. О. Мартинюк]. — Харків : Вид-во «Ранок», 2017. — 288 с. : іл."
8,Doslid-istoriyi-5-klas-Panarin-2022.pdf,"Досліджуємо історію і суспільство : підруч. інтегрованого курсу для 5 класу закл. загал. серед. освіти / [О. Є. Панарін, Ю. А. Топольницька, А. О. Макаревич, О. А. Охріменко]. — Київ : Літера ЛТД, 2022. — 160 с. : іл."
9,g8-istukr-p.pdf,"Історія України : підруч. для 8 класу загальноосвіт. навч. закл. / [О. І. Пометун, Н. М. Гупан]. — Київ : УОВЦ «Оріон», 2016. — 272 с. : іл."
10,11-klas-istoriya-ukr-gisem-2024.pdf,"Історія України (рівень стандарту) : підруч. для 11 класу закл. загал. серед. освіти / [А. А. Галімов, О. В. Гісем, О. О. Мартинюк]. — Харків : Вид-во «Ранок», 2024. — 272 с. : іл."
11,11-klas-istoriya-ukr-vlasov-2024-prof.pdf,"Історія України (профільний рівень) : підруч. для 11 класу закл. загал. серед. освіти / [В. С. Власов, С. В. Кульчицький, О. Є. Панарін]. — Київ : Літера ЛТД, 2024. — 368 с. : іл."
12,Istoriia-6-klas-Hisem-2023.pdf,"Історія України. Всесвітня історія : підруч. для 6 класу закл. загал. серед. освіти / [О. В. Гісем, О. О. Гісем]. — Харків : Вид-во «Ранок», 2023. — 192 с. : іл."
