,image_path,bbox,page,doc_id
0,doc0_page0_0.jpeg,"(0.0, 0.0, 467.760009765625, 595.2000122070312)",0,0
1,doc0_page1_6.png,"(84.24800109863281, 447.7869567871094, 132.7449951171875, 496.2839660644531)",1,0
2,doc0_page9_8.png,"(37.176998138427734, 62.65498352050781, 220.77700805664062, 175.45498657226562)",9,0
3,doc0_page9_9.png,"(240.15599060058594, 61.83399200439453, 425.958984375, 176.64498901367188)",9,0
4,doc0_page11_5.png,"(22.917999267578125, 437.96197509765625, 127.31800079345703, 550.761962890625)",11,0
5,doc0_page13_8.png,"(22.909000396728516, 419.3099365234375, 158.50900268554688, 550.8299560546875)",13,0
6,doc0_page16_6.png,"(340.39801025390625, 395.34295654296875, 444.7980041503906, 550.8629760742188)",16,0
7,doc0_page18_5.png,"(131.29400634765625, 412.4859619140625, 393.85400390625, 550.7259521484375)",18,0
8,doc0_page20_4.png,"(308.9909973144531, 409.50897216796875, 430.4309997558594, 550.8689575195312)",20,0
9,doc0_page22_13.png,"(374.20001220703125, 496.0419921875, 430.84002685546875, 552.6820068359375)",22,0
10,doc0_page24_5.png,"(326.2250061035156, 415.343994140625, 430.625, 550.7039794921875)",24,0
11,doc0_page25_5.png,"(37.09199905395508, 62.689971923828125, 141.49200439453125, 197.80996704101562)",25,0
12,doc0_page27_5.png,"(37.125, 62.593963623046875, 212.3249969482422, 198.1939697265625)",27,0
13,doc0_page30_5.png,"(269.56500244140625, 62.528968811035156, 444.7650146484375, 161.40896606445312)",30,0
14,doc0_page32_5.png,"(340.39801025390625, 62.66197967529297, 444.7980041503906, 189.62197875976562)",32,0
15,doc0_page37_5.png,"(22.951000213623047, 435.59698486328125, 198.1510009765625, 550.7969970703125)",37,0
16,doc0_page39_6.png,"(22.951000213623047, 452.00897216796875, 198.1510009765625, 550.8889770507812)",39,0
17,doc0_page41_3.png,"(21.500999450683594, 62.585975646972656, 125.9010009765625, 185.46597290039062)",41,0
18,doc0_page43_6.png,"(21.11499786376953, 469.93695068359375, 103.19499969482422, 551.8329467773438)",43,0
19,doc0_page43_7.png,"(106.86799621582031, 455.7469787597656, 199.93798828125, 552.0789794921875)",43,0
20,doc0_page44_4.png,"(269.56500244140625, 62.892974853515625, 444.7650146484375, 192.73297119140625)",44,0
21,doc0_page48_4.png,"(326.2250061035156, 446.4139709472656, 430.625, 550.81396484375)",48,0
22,doc0_page48_6.png,"(326.2250061035156, 137.198974609375, 430.625, 241.59896850585938)",48,0
23,doc0_page51_5.png,"(22.951000213623047, 62.580963134765625, 198.1510009765625, 169.8609619140625)",51,0
24,doc0_page54_12.png,"(374.20001220703125, 494.38897705078125, 430.84002685546875, 551.0289916992188)",54,0
25,doc0_page55_7.png,"(22.917999267578125, 304.1939697265625, 127.31800079345703, 425.63397216796875)",55,0
26,doc0_page57_3.png,"(37.09199905395508, 62.64598083496094, 141.49200439453125, 198.72598266601562)",57,0
27,doc0_page57_4.png,"(37.09199905395508, 210.66796875, 141.49200439453125, 313.3879699707031)",57,0
28,doc0_page58_3.png,"(269.3500061035156, 62.59497833251953, 444.54998779296875, 162.19497680664062)",58,0
29,doc0_page62_10.png,"(339.3030090332031, 412.45697021484375, 445.801025390625, 551.9329833984375)",62,0
30,doc0_page63_3.png,"(22.951000213623047, 62.62598419189453, 198.1510009765625, 164.385986328125)",63,0
31,doc0_page64_3.png,"(269.56500244140625, 63.37298583984375, 444.7650146484375, 175.9329833984375)",64,0
32,doc0_page66_4.png,"(289.32000732421875, 383.40997314453125, 430.67999267578125, 548.2899780273438)",66,0
33,doc0_page68_4.png,"(326.2250061035156, 62.66197967529297, 430.625, 189.62197875976562)",68,0
34,doc0_page72_8.png,"(340.39801025390625, 427.95196533203125, 444.7980041503906, 550.8319702148438)",72,0
35,doc0_page75_6.png,"(37.11800003051758, 457.2359924316406, 198.15798950195312, 550.8359985351562)",75,0
36,doc0_page76_9.png,"(340.39801025390625, 62.585975646972656, 444.7980041503906, 185.46597290039062)",76,0
37,doc0_page79_3.png,"(23.397998809814453, 62.567970275878906, 198.83799743652344, 185.44796752929688)",79,0
38,doc0_page81_6.png,"(37.125, 427.0169982910156, 212.3249969482422, 550.8569946289062)",81,0
39,doc0_page84_3.png,"(326.2250061035156, 62.70597839355469, 430.625, 185.34597778320312)",84,0
40,doc0_page84_4.png,"(326.2250061035156, 227.2979736328125, 430.625, 350.177978515625)",84,0
41,doc0_page86_2.png,"(295.0350036621094, 62.62397766113281, 430.635009765625, 240.7039794921875)",86,0
42,doc0_page87_3.png,"(22.909000396728516, 62.59095764160156, 158.50900268554688, 243.55096435546875)",87,0
43,doc0_page88_4.png,"(326.2250061035156, 62.55497741699219, 430.625, 218.07498168945312)",88,0
44,doc0_page89_7.png,"(22.917999267578125, 62.6099853515625, 127.31800079345703, 181.16998291015625)",89,0
45,doc0_page96_4.png,"(269.56500244140625, 62.65498352050781, 444.7650146484375, 175.45498657226562)",96,0
46,doc0_page100_3.png,"(340.1579895019531, 62.421966552734375, 445.0379943847656, 189.86196899414062)",100,0
47,doc0_page100_7.png,"(340.39801025390625, 243.7939910888672, 444.7980041503906, 356.593994140625)",100,0
48,doc0_page100_9.png,"(340.0369873046875, 426.532958984375, 444.4369812011719, 550.8529663085938)",100,0
49,doc0_page108_13.png,"(374.20001220703125, 494.38897705078125, 430.84002685546875, 551.0289916992188)",108,0
50,doc0_page111_7.png,"(22.951000213623047, 62.59697723388672, 198.1510009765625, 152.83697509765625)",111,0
51,doc0_page117_5.png,"(22.863998413085938, 61.4119873046875, 164.2239990234375, 221.25198364257812)",117,0
52,doc0_page120_6.png,"(309.3280029296875, 367.8079833984375, 444.68798828125, 551.8599853515625)",120,0
53,doc0_page125_3.png,"(22.909000396728516, 398.3199768066406, 158.50900268554688, 550.719970703125)",125,0
54,doc0_page129_15.png,"(73.85499572753906, 63.264976501464844, 249.2949981689453, 178.94497680664062)",129,0
55,doc0_page129_17.png,"(295.09600830078125, 63.264976501464844, 407.89599609375, 178.94497680664062)",129,0
56,doc0_page130_12.png,"(269.56500244140625, 62.77197265625, 444.7650146484375, 164.77197265625)",130,0
57,doc0_page132_7.png,"(295.0350036621094, 62.5579833984375, 430.635009765625, 222.15798950195312)",132,0
58,doc0_page133_8.png,"(22.951000213623047, 62.59696960449219, 198.1510009765625, 189.79696655273438)",133,0
59,doc0_page137_6.png,"(37.15399932861328, 62.62596893310547, 223.87399291992188, 164.14596557617188)",137,0
60,doc0_page137_7.png,"(238.17298889160156, 62.62596893310547, 424.89300537109375, 164.14596557617188)",137,0
61,doc0_page138_3.png,"(252.53500366210938, 266.1099853515625, 430.614990234375, 364.75)",138,0
62,doc0_page141_11.png,"(37.082000732421875, 62.574981689453125, 172.6820068359375, 260.5749816894531)",141,0
63,doc0_page143_3.png,"(37.09199905395508, 426.67596435546875, 141.49200439453125, 547.8759765625)",143,0
64,doc0_page147_4.png,"(37.082000732421875, 217.36798095703125, 172.6820068359375, 307.60797119140625)",147,0
65,doc0_page148_3.png,"(252.53500366210938, 62.58697509765625, 430.614990234375, 184.0269775390625)",148,0
66,doc0_page149_6.png,"(22.926998138427734, 438.6709899902344, 198.4250030517578, 549.5989990234375)",149,0
67,doc0_page153_6.png,"(37.082000732421875, 62.59698486328125, 172.6820068359375, 267.3169860839844)",153,0
68,doc0_page154_6.png,"(309.2080078125, 62.6099853515625, 444.8080139160156, 181.16998291015625)",154,0
69,doc0_page155_6.png,"(23.03799819946289, 131.26898193359375, 127.197998046875, 252.708984375)",155,0
70,doc0_page155_8.png,"(22.917999267578125, 288.10595703125, 127.31800079345703, 409.54595947265625)",155,0
71,doc0_page156_7.png,"(326.2250061035156, 432.24798583984375, 430.625, 550.8079833984375)",156,0
72,doc0_page157_6.png,"(23.167999267578125, 62.574981689453125, 127.56800079345703, 260.5749816894531)",157,0
73,doc0_page158_8.png,"(340.39801025390625, 62.585975646972656, 444.7980041503906, 185.46597290039062)",158,0
74,doc0_page159_10.png,"(36.87699890136719, 494.38897705078125, 93.51699829101562, 551.0289916992188)",159,0
75,doc0_page161_3.png,"(22.909000396728516, 63.85198974609375, 158.50900268554688, 273.85198974609375)",161,0
76,doc0_page163_5.png,"(22.909000396728516, 62.61296081542969, 158.50900268554688, 229.4129638671875)",163,0
77,doc0_page164_5.png,"(340.39801025390625, 257.47296142578125, 444.7980041503906, 376.032958984375)",164,0
78,doc0_page164_7.png,"(340.39801025390625, 432.24798583984375, 444.7980041503906, 550.8079833984375)",164,0
79,doc0_page165_3.png,"(22.917999267578125, 62.58697509765625, 127.31800079345703, 184.0269775390625)",165,0
80,doc0_page165_5.png,"(23.218997955322266, 237.01995849609375, 127.37899780273438, 358.4599609375)",165,0
81,doc0_page165_7.png,"(23.0989990234375, 426.8389892578125, 127.4990005493164, 548.2789916992188)",165,0
82,doc0_page167_7.png,"(22.888999938964844, 62.95298767089844, 127.52899932861328, 216.31298828125)",167,0
83,doc0_page170_3.png,"(309.2080078125, 62.658966064453125, 444.8080139160156, 234.97897338867188)",170,0
84,doc0_page171_7.png,"(22.917999267578125, 253.22799682617188, 127.31800079345703, 414.50799560546875)",171,0
85,doc0_page173_6.png,"(22.917999267578125, 62.6099853515625, 127.31800079345703, 181.16998291015625)",173,0
86,doc0_page173_8.png,"(22.917999267578125, 227.01898193359375, 127.31800079345703, 345.5789794921875)",173,0
87,doc0_page175_3.png,"(37.09199905395508, 62.564979553222656, 141.49200439453125, 186.88497924804688)",175,0
88,doc0_page175_5.png,"(37.27199935913086, 229.9129638671875, 141.6719970703125, 371.032958984375)",175,0
89,doc0_page177_4.png,"(37.125, 62.91197967529297, 212.3249969482422, 153.1519775390625)",177,0
90,doc0_page177_5.png,"(249.72299194335938, 62.686981201171875, 424.9229736328125, 141.406982421875)",177,0
91,doc0_page179_5.png,"(22.917999267578125, 427.95196533203125, 127.31800079345703, 550.8319702148438)",179,0
92,doc0_page180_5.png,"(269.56500244140625, 62.61598205566406, 444.7650146484375, 183.81597900390625)",180,0
93,doc0_page181_5.png,"(22.917999267578125, 62.322967529296875, 127.31800079345703, 163.60296630859375)",181,0
94,doc0_page181_7.png,"(22.917999267578125, 235.77496337890625, 127.31800079345703, 358.65496826171875)",181,0
95,doc0_page181_9.png,"(21.839000701904297, 423.73797607421875, 128.3979949951172, 548.7539672851562)",181,0
96,doc0_page183_3.png,"(22.917999267578125, 236.17398071289062, 127.31800079345703, 377.2939758300781)",183,0
97,doc0_page183_5.png,"(22.917999267578125, 446.9729919433594, 127.31800079345703, 549.4530029296875)",183,0
